Port: 22
Service: SSH
Product: No match found
Vulnerabilities: 



Port: 80
Service: HTTP
Product: Apache 2.4.7
Vulnerabilities: 
CVE-2019-11989 | CVSS: 5.9 | Risk: Medium
CVE-2021-32791 | CVSS: 5.9 | Risk: Medium
CVE-2021-38153 | CVSS: 5.9 | Risk: Medium
CVE-2021-41159 | CVSS: 5.8 | Risk: Medium
CVE-2016-4976 | CVSS: 5.5 | Risk: Medium
CVE-2020-17521 | CVSS: 5.5 | Risk: Medium
CVE-2020-13938 | CVSS: 5.5 | Risk: Medium
CVE-2022-25169 | CVSS: 5.5 | Risk: Medium
CVE-2022-30126 | CVSS: 5.5 | Risk: Medium
CVE-2021-42597 | CVSS: 5.4 | Risk: Medium
CVE-2018-1283 | CVSS: 5.3 | Risk: Medium
CVE-2018-17189 | CVSS: 5.3 | Risk: Medium
CVE-2019-0220 | CVSS: 5.3 | Risk: Medium
CVE-2019-0196 | CVSS: 5.3 | Risk: Medium
CVE-2020-1934 | CVSS: 5.3 | Risk: Medium
CVE-2020-11985 | CVSS: 5.3 | Risk: Medium
CVE-2020-13937 | CVSS: 5.3 | Risk: Medium
CVE-2019-17567 | CVSS: 5.3 | Risk: Medium
CVE-2021-30641 | CVSS: 5.3 | Risk: Medium
CVE-2021-32785 | CVSS: 5.3 | Risk: Medium
CVE-2021-41160 | CVSS: 5.3 | Risk: Medium
CVE-2022-28330 | CVSS: 5.3 | Risk: Medium
CVE-2022-28614 | CVSS: 5.3 | Risk: Medium
CVE-2002-2007 | CVSS: 5.0 | Risk: Medium
CVE-2007-1862 | CVSS: 5.0 | Risk: Medium
CVE-2011-2516 | CVSS: 5.0 | Risk: Medium
CVE-2013-6438 | CVSS: 5.0 | Risk: Medium
CVE-2014-0098 | CVSS: 5.0 | Risk: Medium
CVE-2012-5641 | CVSS: 5.0 | Risk: Medium
CVE-2014-0231 | CVSS: 5.0 | Risk: Medium
CVE-2014-3523 | CVSS: 5.0 | Risk: Medium
CVE-2014-3581 | CVSS: 5.0 | Risk: Medium
CVE-2014-3583 | CVSS: 5.0 | Risk: Medium
CVE-2015-0228 | CVSS: 5.0 | Risk: Medium
CVE-2014-8111 | CVSS: 5.0 | Risk: Medium
CVE-2015-0253 | CVSS: 5.0 | Risk: Medium
CVE-2015-3183 | CVSS: 5.0 | Risk: Medium
CVE-2015-3184 | CVSS: 5.0 | Risk: Medium
CVE-2007-3303 | CVSS: 4.9 | Risk: Medium
CVE-2015-5257 | CVSS: 4.9 | Risk: Medium
CVE-2007-3304 | CVSS: 4.7 | Risk: Medium
CVE-2021-32786 | CVSS: 4.7 | Risk: Medium
CVE-2021-39191 | CVSS: 4.7 | Risk: Medium
CVE-2012-3502 | CVSS: 4.3 | Risk: Medium
CVE-2012-4360 | CVSS: 4.3 | Risk: Medium
CVE-2012-3451 | CVSS: 4.3 | Risk: Medium
CVE-2012-2378 | CVSS: 4.3 | Risk: Medium
CVE-2012-3499 | CVSS: 4.3 | Risk: Medium
CVE-2012-4558 | CVSS: 4.3 | Risk: Medium
CVE-2013-4352 | CVSS: 4.3 | Risk: Medium
CVE-2014-0117 | CVSS: 4.3 | Risk: Medium
CVE-2014-0118 | CVSS: 4.3 | Risk: Medium
CVE-2014-8109 | CVSS: 4.3 | Risk: Medium
CVE-2015-3185 | CVSS: 4.3 | Risk: Medium
CVE-2016-8612 | CVSS: 4.3 | Risk: Medium
CVE-2019-0197 | CVSS: 4.2 | Risk: Medium
CVE-2021-32792 | CVSS: 3.1 | Risk: Low
CVE-2012-2687 | CVSS: 2.6 | Risk: Low



